No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,Time 2,Time 1,,Delay ,,,Delay 2,Delay 1,,Jitter
108,3.48081,151.101.8.133,192.168.1.6,TCP,66,"443  >  52355 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM=1 WS=512",,,,,,,,,,,,,,,,,,,
109,3.480998,192.168.1.6,151.101.8.133,TCP,54,52355  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0,,,,,,,,,,,,,,,,,,,
110,3.481815,192.168.1.6,151.101.8.133,TLSv1.2,585,Client Hello,,,,,,,,,,,,,,,,,,,
111,3.484595,172.217.194.95,192.168.1.6,UDP,67,443  >  60138 Len=25,,,,,,,,,,,,,,,,,,,
112,3.495408,192.168.1.6,151.101.8.133,TCP,54,52354  >  443 [ACK] Seq=1205 Ack=665 Win=131328 Len=0,,,,,,,,,,,,,,,,,,,
113,3.496718,192.168.1.6,192.168.1.1,DNS,89,Standard query 0xdb08 A github-cloud.s3.amazonaws.com,,,,,,,,,,,,,,,,,,,
114,3.499375,fe80::1,fe80::3dfb:9bbe:e62a:b882,DNS,146,Standard query response 0xdb08 A github-cloud.s3.amazonaws.com CNAME s3-1-w.amazonaws.com A 52.217.49.4,,,,,,,,,,,,,,,,,,,
115,3.500572,151.101.8.133,192.168.1.6,TCP,54,443  >  52355 [ACK] Seq=1 Ack=532 Win=30720 Len=0,,,,,,,,,,,,,,,,,,,
116,3.500751,151.101.8.133,192.168.1.6,TLSv1.2,210,"Server Hello, Change Cipher Spec, Encrypted Handshake Message",,,,,,,,,,,,,,,,,,,
117,3.50218,192.168.1.6,151.101.8.133,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message",,,,,,,,,,,,,,,,,,,
118,3.503172,192.168.1.6,151.101.8.133,TLSv1.2,676,Application Data,,,,,,,,,,,,,,,,,,,
119,3.503838,192.168.1.6,192.168.1.1,DNS,93,Standard query 0xd7bf A user-images.githubusercontent.com,,,,,,,,,,,,,,,,,,,
120,3.511232,172.217.194.95,192.168.1.6,UDP,509,443  >  60138 Len=467,,,,,,,,,,,,,,,,,,,
121,3.511232,172.217.194.95,192.168.1.6,UDP,116,443  >  60138 Len=74,,,,,,,,,,,,,,,,,,,
122,3.511796,192.168.1.6,172.217.194.95,UDP,75,60138  >  443 Len=33,,,,,,,,,,,,,,,,,,,
123,3.5209,151.101.8.133,192.168.1.6,TCP,56,443  >  52355 [ACK] Seq=157 Ack=1205 Win=31744 Len=0,,,,,,,,,,,,,,,,,,,
124,3.523623,151.101.8.133,192.168.1.6,TLSv1.2,562,Application Data,,,,,,,,,,,,,,,,,,,
125,3.527607,192.168.1.6,52.74.223.119,TCP,1490,52353  >  443 [ACK] Seq=2656 Ack=26124 Win=132096 Len=1436 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
126,3.527607,192.168.1.6,52.74.223.119,TLSv1.3,503,Application Data,,,,,,,,,,,,,,,,,,,
127,3.542505,fe80::3dfb:9bbe:e62a:b882,fe80::1,DNS,104,Standard query 0x312a A www.google-analytics.com,,,,,,,,,,,,,,,,,,,
